""	"MiaPaCa.2"	"Capan.2"	"Panc10.05"	"KP.2"	"PaTu8902"	"DAN.G"	"HuP.T3"	"TCC.PAN2"	"HuP.T4"	"PSN1"	"PaTu8988T"	"Panc4.03"	"KCI.MOH1"	"QGP.1"	"Panc3.27"	"HPAF.II"	"Panc2.13"	"BxPC.3"	"KP.4"	"PaTu8988S"	"PL45"	"SW1990"	"Panc.1"	"Panc8.13"	"Panc5.04"	"SUIT.2"	"YAPC"	"SNU.410"	"T3M.4"	"PK.45H"	"HPAC"	"SNU.324"	"SNU.213"
"MiaPaCa.2"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Capan.2"	"0.875591007581017"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Panc10.05"	"0.965585482467543"	"0.957296010910856"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KP.2"	"0.907480265989099"	"0.904080917622402"	"0.911326428870702"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PaTu8902"	"0.963407650993332"	"0.883503982474653"	"0.939629859203298"	"0.95676271641632"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DAN.G"	"0.807408299632248"	"0.968111193621795"	"0.892146821500489"	"0.854397506201361"	"0.818219974089453"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HuP.T3"	"0.940109771453526"	"0.969753879743959"	"0.993513789942133"	"0.887513680870606"	"0.913768294614545"	"0.924333124729408"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TCC.PAN2"	"0.848494210539307"	"0.986898236922416"	"0.928937549786667"	"0.911673316443349"	"0.8632050502259"	"0.973011464610974"	"0.944162116713841"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HuP.T4"	"0.989186998829836"	"0.9136574212775"	"0.975665060768603"	"0.937229515416875"	"0.970019405188687"	"0.847480808235137"	"0.954587865539224"	"0.886089196518783"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PSN1"	"0.925491469006424"	"0.953887540590221"	"0.96177101939454"	"0.906642235018729"	"0.920852198995008"	"0.932793796505227"	"0.969558445912749"	"0.927288172824926"	"0.950315298511831"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
