"Gene"	"Correlation"	"P.value"
"LYRM5"	0.694192467059563	2.43537602527286e-07
"FGFR1OP2"	0.607627724782897	1.55243931891981e-05
"TBC1D8"	0.58742393283035	3.45546097822284e-05
"GUCY1B3"	0.568087836917841	7.07981155122137e-05
"KIF21B"	0.561661153496897	8.89827291839252e-05
"LOC100507186"	0.552970202840882	0.000120325864528661
"FAM13A"	0.551232065227764	0.000127683945324996
"ENPEP"	0.542672486076899	0.000170227519087876
"AKD1"	0.53926034098211	0.000190495555869243
"LOC100131096"	0.533622770844389	0.000228805875603965
"SGK494"	0.529620971402166	0.000260084132268458
"STK38L"	0.527086696043531	0.000281836473034429
"LINC00261"	0.525705336645901	0.000294371506134604
"REM2"	0.525071253409042	0.000300291935189832
"TBC1D16"	0.519312599695727	0.000359178421563435
"DUSP6"	0.514272659513372	0.000419030610763665
"PHACTR1"	0.506459543430788	0.000529643618706617
"FABP6"	0.504483269226792	0.000561479805377549
"HOXA7"	0.50268421200217	0.000591941219549099
"CRMP1"	0.494591876590388	0.000748071706406392
"CP"	0.490694563677638	0.000835642227730384
"YPEL4"	0.489775118416771	0.000857590645213922
"HES1"	0.485400520536802	0.000969225319421061
"AEBP1"	0.481308997548035	0.00108517193595277
"TIGD4"	0.480112533054929	0.00112133360895138
"ACSL3"	0.478830821570093	0.00116125764281697
"SH3PXD2B"	0.476447037058423	0.00123888516439426
"KLHL2"	0.473902023097668	0.00132682165033087
"LAT"	0.472397077901599	0.00138139008214559
"LOC100499466"	0.4647802639758	0.00168928681739115
"GUCY1A3"	0.463574789018546	0.00174321802966872
"ZNF638"	0.459111817330241	0.0019563866156032
"FUT9"	0.454352491889206	0.00220878326663909
"SHANK2"	0.453227169833471	0.00227250213837194
"SPRY1"	0.452051116166313	0.00234082020684845
"LOC100507266"	0.448911925356149	0.0025321215752447
"LOC152225"	0.445602579485778	0.00274856647488229
"CPD"	0.443776585844762	0.00287482457487001
"FGF12"	0.440577681702557	0.00310833054553108
"FAM81B"	0.43524116723024	0.00353503085821664
"LINC00326"	0.433787436620438	0.00365981199832607
"SLC2A12"	0.433146539390224	0.00371603669144347
"PRR14L"	0.432299209513862	0.00379153060211777
"PPM1E"	0.4321859105879	0.00380172610062006
"FOXA2"	0.42880717173904	0.00411699712473479
"WSCD1"	0.425398001975625	0.00445801770639594
"GNG4"	0.42498004056807	0.0045014760398052
"ALOX5AP"	0.423378510459303	0.0046714365488416
"HEXDC"	0.422169961066047	0.00480336866051834
"FBXO16"	0.422111582225939	0.0048098229745658
"TMEM200A"	0.421670832951406	0.00485879609590172
"HFM1"	0.419907589303962	0.0050590853842127
"KBTBD3"	0.419174046413842	0.00514450240748694
"LOC253039"	0.418925106028058	0.00517377386455794
"PRUNE2"	0.418843426120814	0.00518340964131644
"GPC4"	0.418628145388558	0.0052088811217692
"LOC284561"	0.41814695024391	0.00526620882273303
"RGS17"	0.417768353548429	0.00531169817395389
"SLC7A11"	0.417268796118175	0.00537224374143986
"TMEM178"	0.417254357716049	0.00537400253460117
"PRSS33"	0.417043336130667	0.00539976498959567
"TMC6"	0.416531953618746	0.00546264249405956
"ANGPT2"	0.414196694501717	0.00575792981689527
"RSPH9"	0.413498948379717	0.0058488036371991
"DOCK2"	0.412252595752374	0.00601422682504976
"DNASE1"	0.412164881470963	0.00602602008448855
"TNRC6B"	0.411316039915149	0.00614118750684334
"CLEC2D"	0.40878582237312	0.00649586930214508
"C20orf112"	0.408136813331815	0.00658965456085545
"GABRR1"	0.405436737988664	0.00699252141445074
"MPP7"	0.403709270080307	0.00726129102624122
"GRAMD4"	0.401647381929222	0.00759373257512626
"HOXC10"	0.399829261967299	0.00789768605124152
"HOXD1"	0.39965588215197	0.00792721202547564
"GLRX"	0.399581150016934	0.00793996796444485
"PLCB1"	0.398886377334938	0.00805940726503751
"SLAMF6"	0.395064488063123	0.00874449827986418
"RUFY3"	0.394782249205773	0.00879701958987687
"SORCS1"	0.394432136696837	0.00886254819288282
"LINC00176"	0.392275599816083	0.00927550268602965
"DCP2"	0.391462952967448	0.00943534777274324
"TSC22D3"	0.390636153315155	0.00960039812258542
"SEMA3A"	0.389873527613692	0.00975482839667281
"PROX1-AS1"	0.38966861078694	0.00979668510871208
"HOXA4"	0.387237590957087	0.0103051244799366
"CPNE4"	0.38722646208101	0.0103075030510807
"IBTK"	0.38698167516731	0.0103599403573458
"LOC286367"	0.386890711772679	0.0103794843330564
"BRWD3"	0.385366103355636	0.0107117859917086
"LOC285548"	0.383748024982967	0.0110743787421498
"LOC100505639"	0.382690027663587	0.0113170962692869
"PTCHD1"	0.382408324164127	0.0113824837300002
"LOC100130894"	0.381025530042377	0.0117081520448563
"UST"	0.380543030957154	0.0118236445656974
"C12orf56"	0.38023798699765	0.0118971615118169
"TMTC2"	0.379765658392985	0.0120117644485397
"SEC63"	0.379454329706432	0.01208781731828
"LOC100507218"	0.37806511528373	0.0124322080262327
"MEGF9"	0.377163495486822	0.0126601699412173
"EPHA6"	0.375813136752399	0.0130082465843228
"ABCB6"	0.375653033497547	0.0130500509984891
"SYT11"	0.375581744691282	0.0130687019237031
"TNIK"	0.37554718554634	0.0130777516195939
"TRIB2"	0.374579938491589	0.0133332090476931
"STXBP4"	0.373612522666241	0.0135929456209941
"HOXC4"	0.373136994181896	0.0137221871323826
"BPTF"	0.372781408418659	0.0138195113466393
"BAZ2B"	0.372417762378021	0.0139196478630027
"EGF"	0.371792578229617	0.0140932450398877
"GUCA1B"	0.370051108157072	0.0145865320544804
"ADCY4"	0.369372865733499	0.0147825757247445
"GNGT1"	0.368620883250949	0.0150025421657846
"LOC100505971"	0.36791999378312	0.0152100559195041
"PPIL6"	0.367724680900902	0.0152683141778978
"GLCE"	0.367023788888121	0.0154789369685866
"ESRRG"	0.366786671869161	0.0155507471645267
"CARD8"	0.366590359072302	0.0156104132564393
"HIPK2"	0.366581124061276	0.0156132248567496
"LOC100507425"	0.366161207843607	0.0157415223141386
"TSKU"	0.366157155755616	0.0157427646882846
"LOC100506108"	0.365859426948171	0.0158342760736254
"ERP27"	0.36571271951679	0.0158795341585694
"DUSP2"	0.365144807387408	0.0160557643773174
"MRFAP1L1"	0.364327724058525	0.016312217221874
"STK32A"	0.364243777808301	0.0163387600736665
"DCBLD1"	0.36416431891544	0.0163639177165302
"XRRA1"	0.363820933476421	0.0164730147187071
"KIAA1107"	0.363160133411679	0.0166846885756207
"GABRA2"	0.363020822301264	0.0167296062482474
