"Gene"	"Correlation"	"P.value"
"TMOD3"	0.717865598593601	4.031916886201e-30
"ATP11B"	0.706523774790859	7.83223192997892e-29
"ERO1L"	0.696613980182241	9.33871837139459e-28
"SLC25A24"	0.670995066008653	3.63158625142861e-25
"CTNNA1"	0.651292870947498	2.41205119748354e-23
"REEP3"	0.646259596246678	6.70649941637975e-23
"NCKAP1"	0.645973260880844	7.10412056199996e-23
"CD2AP"	0.645618184627614	7.62944523155072e-23
"ETV3"	0.642958687634831	1.29793975648354e-22
"DIAPH1"	0.640849005592863	1.97104819611585e-22
"EPS8"	0.638846678921089	2.9214832657387e-22
"TMTC2"	0.638660275037215	3.0300484808235e-22
"SEC24A"	0.634814395370049	6.39700041598037e-22
"AVL9"	0.634618940317178	6.64274454185227e-22
"KDM5B"	0.634103536414486	7.33603349387049e-22
"GPD2"	0.634052504071623	7.40842284417107e-22
"SGMS2"	0.633530076728489	8.19098351330191e-22
"SLC35A3"	0.631640528006101	1.17591481184932e-21
"CSNK1A1"	0.631560721899061	1.19394614184866e-21
"ZDHHC20"	0.631394339756165	1.23241490070508e-21
"SPTY2D1"	0.629802050171803	1.66777341668875e-21
"RCOR1"	0.628024430932864	2.33299449513601e-21
"GALNT3"	0.627835503108904	2.41741873258401e-21
"FAM91A1"	0.624680246035465	4.36143145018866e-21
"DGKH"	0.618535348200914	1.35036166912039e-20
"FAT1"	0.6176109763351	1.59717654146666e-20
"ARL5B"	0.613963116124427	3.08116939764356e-20
"FGD4"	0.610839139298905	5.37244268815433e-20
"UHMK1"	0.609016952488384	7.4093867375118e-20
"NEK7"	0.607100712638095	1.03665170807364e-19
"PATL1"	0.606553610610338	1.14049639760135e-19
"WIPF2"	0.605612489071015	1.34347134525417e-19
"C10orf12"	0.605503420730568	1.36916913192147e-19
"MAP3K2"	0.604453934415864	1.64238466908283e-19
"ADAM10"	0.602957066135075	2.126543520967e-19
"STK38L"	0.600521936411658	3.22811730592059e-19
"HECTD1"	0.600102337788522	3.46760208074208e-19
"DENND1B"	0.598721615456009	4.38509867504641e-19
"BAZ1A"	0.597363115863811	5.51836663174243e-19
"PRRC1"	0.594697770602047	8.63596208137532e-19
"AFF4"	0.591940689204345	1.36653371321437e-18
"ARHGAP42"	0.591404700910215	1.4932979483102e-18
"FAM199X"	0.591332225595598	1.51129907055918e-18
"AHR"	0.590367842918848	1.77203386379508e-18
"AGFG1"	0.590296330786281	1.79303364819208e-18
"CHMP2B"	0.589652477761516	1.9934108370417e-18
"CMTM1"	0.589575441793107	2.01880695928003e-18
"RAB10"	0.589447136614221	2.06180959958174e-18
"RASEF"	0.586549718611125	3.3104438279961e-18
"CHML"	0.586119986640855	3.54985888743689e-18
"FAM83B"	0.585831265603044	3.72014685396592e-18
"WWP1"	0.58504136115096	4.22794425068732e-18
"FCHO2"	0.583654622092371	5.28836324343775e-18
"PPTC7"	0.583469829547255	5.44800990111134e-18
"PDLIM5"	0.581698145195007	7.23869739166837e-18
"B3GNT2"	0.581197729489236	7.84126072551726e-18
"CSNK1G3"	0.580595322719082	8.6319723978842e-18
"ECT2"	0.578610273222337	1.18302188255102e-17
"DHX15"	0.578474618743463	1.20868530407083e-17
"TANK"	0.578366246620023	1.22957806140539e-17
"ACTR2"	0.574238191058356	2.3508690977725e-17
"BRWD3"	0.574142922660303	2.38604023063671e-17
"TOR1AIP2"	0.565538106850802	8.94711081844711e-17
"SRFBP1"	0.564615485672208	1.02859166574448e-16
"CNNM4"	0.564269057737504	1.08376139395204e-16
"EFNB2"	0.562886688095417	1.33417946139051e-16
"ADSS"	0.562692339720948	1.37364086781415e-16
"TNIK"	0.561106209273235	1.74131581245818e-16
"EGFR"	0.559024399763169	2.37268996865284e-16
"ELF4"	0.558742643665761	2.47373946852631e-16
"SMG1"	0.558179994649153	2.68827198825626e-16
"PDCD10"	0.556556957451253	3.41415430549881e-16
"SEC24B"	0.553843008850665	5.07706463827041e-16
"DSG2"	0.553623702059708	5.24167378376747e-16
"EFR3A"	0.552301227928623	6.35064799789748e-16
"CXADR"	0.551644790701715	6.98317741080297e-16
"DYNC1LI2"	0.551506135352643	7.12445024802167e-16
"YIPF6"	0.551398387315605	7.2361564881134e-16
"DIAPH2"	0.549878524087192	9.00650498235737e-16
"SLC44A1"	0.549808073663938	9.09809387270958e-16
"TET3"	0.547899682563527	1.19560782153562e-15
"CXorf38"	0.547000760867666	1.35897398057698e-15
"SPTLC1"	0.545998549198736	1.56685585838482e-15
"FAM126B"	0.544291892357941	1.99446079934557e-15
"ZDHHC5"	0.544051884123654	2.06307737345892e-15
"EHF"	0.543824190214984	2.13030113732764e-15
"ELF1"	0.542776680441005	2.4681414957955e-15
"MAT2B"	0.542718396433837	2.48840222291765e-15
"FAM120A"	0.542380526772581	2.60909146600289e-15
"TES"	0.541930358608767	2.77880915865871e-15
"SDR16C5"	0.540029560502244	3.62221917120012e-15
"HMGXB4"	0.539390847170971	3.95816651716384e-15
"MYOF"	0.538269502439116	4.62299218980649e-15
"IPO7"	0.537700065431843	5.00114121755997e-15
"ARL6IP1"	0.537574461694981	5.08852862854458e-15
"HK2"	0.537253040442291	5.31899650194831e-15
"F2RL1"	0.536504541334767	5.89588805377279e-15
"CD55"	0.535640193797937	6.63823758314939e-15
"ARFGEF1"	0.535015766291507	7.23051065723293e-15
"COPB1"	0.534014858664612	8.28903356485187e-15
"FAM177A1"	0.533486785573285	8.9069659707282e-15
"ARFIP1"	0.531838833056709	1.11385145532116e-14
"PLEKHA7"	0.531077027576354	1.23462479055131e-14
"TMEM123"	0.531004284657729	1.24680391497753e-14
"UBXN4"	0.530663771854958	1.30539108409557e-14
"RASSF6"	0.529647343031675	1.49670443007555e-14
"ATP2C1"	0.529622852743731	1.50163607467472e-14
"RNF168"	0.529530848162	1.52030520216296e-14
"GFPT1"	0.529235261380934	1.5818293790693e-14
"STRN3"	0.527773493421327	1.92360458394714e-14
"E2F7"	0.524330220877168	3.03828717053153e-14
"DPY19L1"	0.523248587238623	3.50369101049783e-14
"UBE2K"	0.522124289713728	4.06098953816052e-14
"SPIN4"	0.521811619722797	4.23075589922566e-14
"ATL3"	0.521772221809459	4.25263205997575e-14
"JMJD1C"	0.521746277641619	4.2670980503164e-14
"ZNF267"	0.521513515730089	4.3990461461358e-14
"PDZD8"	0.521412572705625	4.45749763965741e-14
"SNX12"	0.520914929433085	4.75690877754787e-14
"PPP4R2"	0.520775753375897	4.84409571512724e-14
"ARL6IP6"	0.519924657810651	5.41216381729078e-14
"FER"	0.519560516713219	5.67458942101898e-14
"DPY19L4"	0.518640826104271	6.39383612896121e-14
"OSBPL3"	0.517663882960236	7.25511425835784e-14
"GALNT5"	0.517619030448088	7.29725919291905e-14
"ARAP2"	0.517329025999096	7.57557363852295e-14
"PDCD6IP"	0.516627250828921	8.29256129231982e-14
"METAP1"	0.516478654588405	8.45265150068127e-14
"XIAP"	0.516064869731484	8.91447968561722e-14
"LYPLA1"	0.515481013978041	9.60818938968383e-14
"ABHD2"	0.514979040344116	1.02464441784039e-13
"LIPH"	0.514228051857561	1.12791251464436e-13
"RASSF3"	0.513860747684624	1.18204634513956e-13
"GLUD2"	0.513530567809218	1.23286354895315e-13
"TMEM87A"	0.512071360228245	1.48411929640023e-13
"FRK"	0.511251589197022	1.64647522626239e-13
"SEC23IP"	0.511016182242128	1.69621152882506e-13
"AHNAK2"	0.509767202853746	1.98558411009164e-13
"PLA2R1"	0.509682105562054	2.00696152344719e-13
"RBM7"	0.509385566980895	2.08322155946508e-13
"NEDD1"	0.508160274806021	2.42936595174843e-13
"G3BP1"	0.50685309632483	2.86034514008579e-13
"SF3B1"	0.506546502292151	2.9717348814201e-13
"FBXO28"	0.50641167908513	3.02204481333612e-13
"RAD51AP1"	0.505909016582911	3.21703053165212e-13
"ZNF281"	0.505765609275399	3.27486970506578e-13
"RNF169"	0.504997446088168	3.60234876536133e-13
"SERINC5"	0.504402385628987	3.87774202568209e-13
"HNRNPF"	0.503940967524199	4.1052935237388e-13
"YTHDF3"	0.50342265547315	4.37641810052151e-13
"ABI1"	0.503125300861124	4.53974954281403e-13
"PSD3"	0.502957989241732	4.63424397577139e-13
"GTF2A1"	0.5023667227503	4.98376906903055e-13
"JAG1"	0.501764596197482	5.36604822314752e-13
"DLG1"	0.50127682490406	5.69651712181426e-13
"ATF2"	0.500457577289646	6.29665489674532e-13
"PRELID2"	0.49987563970307	6.75988542768878e-13
"CKAP2L"	0.49774122605786	8.7602532288045e-13
"POC1B"	0.496170626706043	1.05890959730966e-12
"CPEB2"	0.496079264590548	1.07062117944758e-12
"TOB1"	0.495331492816156	1.17133325675326e-12
"MAL2"	0.495314186875305	1.17376991920354e-12
"FRYL"	0.493413647525968	1.47362751695087e-12
"ARHGEF12"	0.493358141840903	1.48342018474224e-12
"NCOA2"	0.493125746024175	1.52511280068885e-12
"ASPM"	0.492827982611747	1.58020136642458e-12
"GAS2L3"	0.492562646278002	1.6309179848707e-12
"ZNF827"	0.491905409599092	1.76345702173414e-12
"TNFRSF21"	0.4918948479931	1.76567016508969e-12
"SMC5"	0.491229554355696	1.91066039519565e-12
"ACTR3"	0.49122775456993	1.91106791300335e-12
"IPMK"	0.490090919210304	2.18610563265872e-12
"CREB1"	0.490051349475002	2.19634124680017e-12
"RAB3GAP1"	0.489997097915799	2.21045043598026e-12
"COPA"	0.489975182827608	2.21617484791365e-12
"CLCN3"	0.488701106616131	2.5749494005857e-12
"FLNB"	0.488569034931017	2.61522058478542e-12
"SERINC3"	0.486407607198834	3.36819268667501e-12
"ATE1"	0.486125796803821	3.48070896096264e-12
"CDK6"	0.485563942250773	3.71604491776223e-12
"IKZF2"	0.485044919938005	3.94713707229333e-12
"DSC2"	0.483336276604685	4.81090851848634e-12
"DIS3"	0.48314803770827	4.91661790468674e-12
"DR1"	0.481469551557678	5.96459750141173e-12
"C5orf24"	0.481325169088421	6.06426462129033e-12
"DNAJC13"	0.481293145774796	6.08658858358128e-12
"STAM2"	0.480181639503894	6.9129060459714e-12
"LRRC57"	0.479247366488418	7.69091444121543e-12
"TIPARP"	0.478730948144518	8.1567986397329e-12
