"Gene"	"TP53 Correlation"	"TP53 P-value"	"SMAD4 Correlation"	"SMAD4 P-value"	"KRAS Correlation"	"KRAS P-value"	"FGFR2 Correlation"	"FGFR2 P-value"	"PIK3CA Correlation"	"PIK3CA P-value"	"GNAS Correlation"	"GNAS P-value"	"EGFR Correlation"	"EGFR P-value"	"APC Correlation"	"APC P-value"	"MYC Correlation"	"MYC P-value"	"BRAF Correlation"	"BRAF P-value"
"APC"	-0.0853051080981332	0.257567676332278	0.50476084679409	6.75257651692969e-13	0.261288857442496	0.000426903109971793	-0.0823326848068537	0.274581678394922	0.573846702979544	5.61595257560222e-17	0.177729467696252	0.0176238061442142	0.296463647253948	5.86540993753475e-05	1	0	-0.0175490493540022	0.816148216555171	0.468303983944717	4.34441621419457e-11
"BRAF"	-0.0118728506737373	0.875013832645032	0.0908511803791001	0.227793514534094	0.425493923787252	3.20727314084523e-09	0.17703743643602	0.0180769639645748	0.673483197523885	7.07480980219777e-25	-0.186165442895367	0.0128446461744669	0.554315568787343	9.98475485002466e-16	0.468303983944717	4.34441621419457e-11	0.110063772038472	0.143594525341368	1	0
"EGFR"	-0.0169309780443516	0.822514490198414	-0.0148227482988452	0.844314593445078	0.55582378233875	8.04848344878076e-16	0.437515860773762	1.01725085802029e-09	0.667814880110135	2.40655581404159e-24	-0.467126694343216	4.93000053707956e-11	1	0	0.296463647253948	5.86540993753475e-05	0.192303542787116	0.0101223452946618	0.554315568787343	9.98475485002466e-16
"FGFR2"	0.0906780287443422	0.228684657486079	-0.0643341633274238	0.393569517006263	0.123377723782383	0.100850994870885	1	0	0.159612953925177	0.033323615510491	-0.652870765850219	5.35503448148603e-23	0.437515860773762	1.01725085802029e-09	-0.0823326848068537	0.274581678394922	0.109817050533912	0.144499877846146	0.17703743643602	0.0180769639645748
"GNAS"	-0.207369125178259	0.00547934022649283	0.269333744327711	0.000277487800408184	-0.28198893134576	0.000137080446224863	-0.652870765850219	5.35503448148603e-23	-0.243459477223339	0.00105779824291572	1	0	-0.467126694343216	4.93000053707956e-11	0.177729467696252	0.0176238061442142	-0.23291223000864	0.00175589059261059	-0.186165442895367	0.0128446461744669
"KRAS"	-0.146247696953306	0.0514236480012466	-0.223205003248264	0.00274605411190437	1	0	0.123377723782383	0.100850994870885	0.471619670981717	3.03486902049841e-11	-0.28198893134576	0.000137080446224863	0.55582378233875	8.04848344878076e-16	0.261288857442496	0.000426903109971793	-0.011264643107598	0.881368210560933	0.425493923787252	3.20727314084523e-09
"MYC"	0.220883453285051	0.00304779782178724	-0.0541843292217058	0.472545224514035	-0.011264643107598	0.881368210560933	0.109817050533912	0.144499877846146	0.239776880452826	0.00126571128204307	-0.23291223000864	0.00175589059261059	0.192303542787116	0.0101223452946618	-0.0175490493540022	0.816148216555171	1	0	0.110063772038472	0.143594525341368
"PIK3CA"	-0.0639978298434369	0.396052437498272	0.16712264779351	0.025768004293923	0.471619670981717	3.03486902049841e-11	0.159612953925177	0.033323615510491	1	0	-0.243459477223339	0.00105779824291572	0.667814880110135	2.40655581404159e-24	0.573846702979544	5.61595257560222e-17	0.239776880452826	0.00126571128204307	0.673483197523885	7.07480980219777e-25
"SMAD4"	-0.00529336022557286	0.944094032223569	1	0	-0.223205003248264	0.00274605411190437	-0.0643341633274238	0.393569517006263	0.16712264779351	0.025768004293923	0.269333744327711	0.000277487800408184	-0.0148227482988452	0.844314593445078	0.50476084679409	6.75257651692969e-13	-0.0541843292217058	0.472545224514035	0.0908511803791001	0.227793514534094
"TP53"	1	0	-0.00529336022557286	0.944094032223569	-0.146247696953306	0.0514236480012466	0.0906780287443422	0.228684657486079	-0.0639978298434369	0.396052437498272	-0.207369125178259	0.00547934022649283	-0.0169309780443516	0.822514490198414	-0.0853051080981332	0.257567676332278	0.220883453285051	0.00304779782178724	-0.0118728506737373	0.875013832645032
